No.,ID de pantalla,CFE,Internet fibra,Internet redundancia,Licencia Teltonika,Licencia TeamViewer,Licencia CMS,Licencia Hikvision,Licencia de portal de UPS,Licencia QTM
1,MX_CM_VV_COL_414," $20,000.00 ", $950.00 ," $2,000.00 ", $100.00 , $498.00 , $500.00 , $274.00 , $28.00 , $780.00 
2,MX_CM_VV_COL_419," $20,000.00 ", $950.00 ," $2,000.00 ", $100.00 , $498.00 , $500.00 , $274.00 , $28.00 , $780.00 
3,MX_CM_VV_COL_440," $20,000.00 ", $950.00 ," $2,000.00 ", $100.00 , $498.00 , $500.00 , $274.00 , $28.00 , $780.00 
4,MX_CM_VV_COL_444," $20,000.00 ", $950.00 ," $2,000.00 ", $100.00 , $498.00 , $500.00 , $274.00 , $28.00 , $780.00 
5,MX_CM_VV_COL_448," $20,000.00 ", $950.00 ," $2,000.00 ", $100.00 , $498.00 , $500.00 , $274.00 , $28.00 , $780.00 
6,MX_CM_VV_COL_459," $20,000.00 ", $950.00 ," $2,000.00 ", $100.00 , $498.00 , $500.00 , $274.00 , $28.00 , $780.00 
7,MX_CM_VV_COL_465," $20,000.00 ", $950.00 ," $2,000.00 ", $100.00 , $498.00 , $500.00 , $274.00 , $28.00 , $780.00 
8,MX_CM_VV_COL_478," $20,000.00 ", $950.00 ," $2,000.00 ", $100.00 , $498.00 , $500.00 , $274.00 , $28.00 , $780.00 
9,MX_CM_VV_COL_491," $20,000.00 ", $950.00 ," $2,000.00 ", $100.00 , $498.00 , $500.00 , $274.00 , $28.00 , $780.00 
10,MX_CM_VV_COL_505," $20,000.00 ", $950.00 ," $2,000.00 ", $100.00 , $498.00 , $500.00 , $274.00 , $28.00 , $780.00 
11,MX_CM_VV_COL_509," $20,000.00 ", $950.00 ," $2,000.00 ", $100.00 , $498.00 , $500.00 , $274.00 , $28.00 , $780.00 
12,MX_CM_VV_COL_519," $20,000.00 ", $950.00 ," $2,000.00 ", $100.00 , $498.00 , $500.00 , $274.00 , $28.00 , $780.00 
13,MX_CM_VV_COL_529," $20,000.00 ", $950.00 ," $2,000.00 ", $100.00 , $498.00 , $500.00 , $274.00 , $28.00 , $780.00 
14,MX_CM_VV_COL_542," $20,000.00 ", $950.00 ," $2,000.00 ", $100.00 , $498.00 , $500.00 , $274.00 , $28.00 , $780.00 
15,MX_CM_VV_COL_551," $20,000.00 ", $950.00 ," $2,000.00 ", $100.00 , $498.00 , $500.00 , $274.00 , $28.00 , $780.00 
16,MX_CM_VV_COL_571," $20,000.00 ", $950.00 ," $2,000.00 ", $100.00 , $498.00 , $500.00 , $274.00 , $28.00 , $780.00 
17,MX_CM_VV_COL_576," $20,000.00 ", $950.00 ," $2,000.00 ", $100.00 , $498.00 , $500.00 , $274.00 , $28.00 , $780.00 
18,MX_CM_VV_COL_588," $20,000.00 ", $950.00 ," $2,000.00 ", $100.00 , $498.00 , $500.00 , $274.00 , $28.00 , $780.00 
19,MX_CM_VV_COL_594," $20,000.00 ", $950.00 ," $2,000.00 ", $100.00 , $498.00 , $500.00 , $274.00 , $28.00 , $780.00 
20,MX_CM_VV_COL_606," $20,000.00 ", $950.00 ," $2,000.00 ", $100.00 , $498.00 , $500.00 , $274.00 , $28.00 , $780.00 
21,MX_CM_VV_COL_620," $20,000.00 ", $950.00 ," $2,000.00 ", $100.00 , $498.00 , $500.00 , $274.00 , $28.00 , $780.00 
22,MX_CM_VV_COL_628," $20,000.00 ", $950.00 ," $2,000.00 ", $100.00 , $498.00 , $500.00 , $274.00 , $28.00 , $780.00 
23,MX_CM_VV_COL_639," $20,000.00 ", $950.00 ," $2,000.00 ", $100.00 , $498.00 , $500.00 , $274.00 , $28.00 , $780.00 
24,MX_CM_VV_COL_641," $20,000.00 ", $950.00 ," $2,000.00 ", $100.00 , $498.00 , $500.00 , $274.00 , $28.00 , $780.00 
25,MX_CM_VV_COL_651," $20,000.00 ", $950.00 ," $2,000.00 ", $100.00 , $498.00 , $500.00 , $274.00 , $28.00 , $780.00 
26,MX_CM_VV_COL_656," $20,000.00 ", $950.00 ," $2,000.00 ", $100.00 , $498.00 , $500.00 , $274.00 , $28.00 , $780.00 
27,MX_CM_VV_COL_661," $20,000.00 ", $950.00 ," $2,000.00 ", $100.00 , $498.00 , $500.00 , $274.00 , $28.00 , $780.00 
28,MX_CM_VV_COL_665," $20,000.00 ", $950.00 ," $2,000.00 ", $100.00 , $498.00 , $500.00 , $274.00 , $28.00 , $780.00 
29,MX_CM_VV_COL_669," $20,000.00 ", $950.00 ," $2,000.00 ", $100.00 , $498.00 , $500.00 , $274.00 , $28.00 , $780.00 
30,MX_CM_VV_COL_679," $20,000.00 ", $950.00 ," $2,000.00 ", $100.00 , $498.00 , $500.00 , $274.00 , $28.00 , $780.00 
31,MX_CM_VV_COL_689," $20,000.00 ", $950.00 ," $2,000.00 ", $100.00 , $498.00 , $500.00 , $274.00 , $28.00 , $780.00 
32,MX_CM_VV_COL_706," $20,000.00 ", $950.00 ," $2,000.00 ", $100.00 , $498.00 , $500.00 , $274.00 , $28.00 , $780.00 
33,MX_CM_VV_COL_715," $20,000.00 ", $950.00 ," $2,000.00 ", $100.00 , $498.00 , $500.00 , $274.00 , $28.00 , $780.00 
34,MX_CM_VV_COL_735," $20,000.00 ", $950.00 ," $2,000.00 ", $100.00 , $498.00 , $500.00 , $274.00 , $28.00 , $780.00 
35,MX_CM_VV_COL_748," $20,000.00 ", $950.00 ," $2,000.00 ", $100.00 , $498.00 , $500.00 , $274.00 , $28.00 , $780.00 
36,MX_CM_VV_COL_756," $10,000.00 ", $950.00 ," $2,000.00 ", $100.00 , $498.00 , $500.00 , $137.00 , $28.00 , $780.00 
37,MX_CM_VV_COL_767," $20,000.00 ", $950.00 ," $2,000.00 ", $100.00 , $498.00 , $500.00 , $274.00 , $28.00 , $780.00 
38,MX_CM_VV_COL_778," $20,000.00 ", $950.00 ," $2,000.00 ", $100.00 , $498.00 , $500.00 , $274.00 , $28.00 , $780.00 
39,MX_CM_VV_COL_791," $20,000.00 ", $950.00 ," $2,000.00 ", $100.00 , $498.00 , $500.00 , $274.00 , $28.00 , $780.00 
40,MX_CM_VV_COL_802," $20,000.00 ", $950.00 ," $2,000.00 ", $100.00 , $498.00 , $500.00 , $274.00 , $28.00 , $780.00 
41,MX_CM_VV_COL_811," $20,000.00 ", $950.00 ," $2,000.00 ", $100.00 , $498.00 , $500.00 , $274.00 , $28.00 , $780.00 
42,MX_CM_VV_COL_820," $20,000.00 ", $950.00 ," $2,000.00 ", $100.00 , $498.00 , $500.00 , $274.00 , $28.00 , $780.00 
43,MX_CM_VV_COL_829," $20,000.00 ", $950.00 ," $2,000.00 ", $100.00 , $498.00 , $500.00 , $274.00 , $28.00 , $780.00 
44,MX_CM_VV_COL_840," $20,000.00 ", $950.00 ," $2,000.00 ", $100.00 , $498.00 , $500.00 , $274.00 , $28.00 , $780.00 
45,MX_CM_VV_COL_856," $20,000.00 ", $950.00 ," $2,000.00 ", $100.00 , $498.00 , $500.00 , $274.00 , $28.00 , $780.00 
46,MX_CM_VV_COL_863," $20,000.00 ", $950.00 ," $2,000.00 ", $100.00 , $498.00 , $500.00 , $274.00 , $28.00 , $780.00 
47,MX_CM_VV_COL_867," $20,000.00 ", $950.00 ," $2,000.00 ", $100.00 , $498.00 , $500.00 , $274.00 , $28.00 , $780.00 
48,MX_CM_VV_COL_877," $20,000.00 ", $950.00 ," $2,000.00 ", $100.00 , $498.00 , $500.00 , $274.00 , $28.00 , $780.00 
49,MX_CM_VV_COL_881," $20,000.00 ", $950.00 ," $2,000.00 ", $100.00 , $498.00 , $500.00 , $274.00 , $28.00 , $780.00 
50,MX_CM_VV_COL_897," $20,000.00 ", $950.00 ," $2,000.00 ", $100.00 , $498.00 , $500.00 , $274.00 , $28.00 , $780.00 
51,MX_CM_VV_POR_0008," $15,000.00 ", $950.00 ," $2,000.00 ", $100.00 , $498.00 , $500.00 , $137.00 , $28.00 , $780.00 
52,MX_CM_VV_POR_0015," $15,000.00 ", $950.00 ," $2,000.00 ", $100.00 , $498.00 , $500.00 , $137.00 , $28.00 , $780.00 
53,MX_CM_VV_POR_0078," $15,000.00 ", $950.00 ," $2,000.00 ", $100.00 , $498.00 , $500.00 , $137.00 , $28.00 , $780.00 
54,MX_CM_VV_POR_0092," $15,000.00 ", $950.00 ," $2,000.00 ", $100.00 , $498.00 , $500.00 , $137.00 , $28.00 , $780.00 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
